"","sec","weight","rank"
"1","CBA",0.0727447602556287,1
"2","BHP",0.150285217017984,2
"3","WBC",0.0656094862150042,3
"4","ANZ",0.0480695225163174,4
"5","NAB",0.0579899513350269,5
"6","TLS",0.0617602089978691,6
"7","WOW",0.044851492531327,7
"8","WES",0.0386936817613867,8
"9","CSL",0.0322699981503536,9
"10","WPL",0.0376807429834831,10
"11","RIO",0.0358678444829781,11
"12","WDC",0.0346899863309704,12
"13","QBE",0.0276526438568623,13
"14","MQG",0.0218873693290395,15
"15","ORG",0.0359340522786671,16
"16","AMP",0.031109344850409,18
"17","OSH",0.0214606220550748,23
"18","CWN",0.0233443549710387,24
"19","NCM",0.0242248381976489,25
"20","SGP",0.0213134484538213,28
"21","AGK",0.0248006268248489,29
"22","ASX",0.0220230550461486,34
"23","IPL",0.0216396154835852,52
"24","TOL",0.0218462825797906,54
"25","MTS",0.022250853494736,66
