"","Share","Price","No.Shares","Value","Weight"
"1","CBA","72.84","99869","7274457.96","0.0727447602556287"
"2","BHP","35.75","420378","15028513.5","0.150285217017984"
"3","WBC","31.39","209013","6560918.07","0.0656094862150042"
"4","ANZ","29.69","161904","4806929.76","0.0480695225163174"
"5","NAB","32.45","178705","5798977.25","0.0579899513350269"
"6","TLS","4.9","1260412","6176018.8","0.0617602089978691"
"7","WOW","35.67","125740","4485145.8","0.044851492531327"
"8","WES","40.66","95163","3869327.58","0.0386936817613867"
"9","CSL","67.99","47462","3226941.38","0.0322699981503536"
"10","WPL","38.18","98692","3768060.56","0.0376807429834831"
"11","RIO","58.3","61522","3586732.6","0.0358678444829781"
"12","WDC","11.08","313086","3468992.88","0.0346899863309704"
"13","QBE","15.2","181925","2765260","0.0276526438568623"
"14","MQG","43.86","49902","2188701.72","0.0218873693290395"
"15","ORG","13.25","271200","3593400","0.0359340522786671"
"16","AMP","4.74","656315","3110933.1","0.031109344850409"
"17","OSH","8.4","255483","2146057.2","0.0214606220550748"
"18","CWN","14.61","159783","2334429.63","0.0233443549710387"
"19","NCM","13.26","182691","2422482.66","0.0242248381976489"
"20","SGP","3.73","571406","2131344.38","0.0213134484538213"
"21","AGK","15.75","157464","2480058","0.0248006268248489"
"22","ASX","35.45","62124","2202295.8","0.0220230550461486"
"23","IPL","2.59","835506","2163960.54","0.0216396154835852"
"24","TOL","5.46","400115","2184627.9","0.0218462825797906"
"25","MTS","3.25","684641","2225083.25","0.022250853494736"
